" LEA","LEADESC"
"R6GRLY930","GREELEY MOBILE ESTATES"
"R6GRLY935","HODGE & SON MH PARK"
"R6GRLY940","HOLIDAY VILLAGE MH PARK"
"R6GRLY950","SHADY REST MH COURT"
"R6GRLY955","MEADOWS MH VILLAGE SOUTH"
"R6GRLY960","MOBILE MANOR MH PARK"
"R6GRLY965","MOBILE WEST MH PARK"
"R6GRLY970","PATS MOBILE ESTATES #2"
"R6GRLY975","PONDEROSA TRAILER PARK"
"R6GRLY980","PREMIUM ESTATES MH PARK"
"R6GRLY985","RIVER PARK MH PARK"
"R6GRLY990","SMITHS MH PARK"
"R6GRLY995","TYES TRAILER COURT"
"R6KRSY005","KERSEY RES"
"R6KRSY010","KOHLER"
"R6KRSY015","ELDER SUB"
"R6KRSY020","KRAMER MINOR SUB"
"R6KRSY025","BERRYMAN MP1"
"R6KRSY030","BERRYMAN FARM MP1"
"R6KRSY035","BARRYMAN FARM AG"
"R6KRSY040","CLARK & HILL T.H."
"R6KRSY045","KOHLER FARM SOLAR PANELS"
"R6KRSY900","KERSEY MH PARK"
"R6LASA000","LA SALLE DUPLEXES"
"R6LASA005","LA SALLE"
"R6LASA010","COMMONS AT LA SALLE"
"R6LASA015","DOVE HILL"
"R6OTHR000","DAIRY ECON 6"
"R6OTHR005","FEED LOT ECON 6"
"R6OTHR015","HOG ECON 6"
"R6OTHR020","SHEEP ECON 6"
"R6OTHR025","TURKEY ECON 6"
"R6OTHR030","GREEN HOUSE ECON 6"
"R6OTHR040","BEET DUMPS ECON 6"
"R6OTHR045","SALVAGE ECON 6"
"R6OTHR055","OTHER AG"
"R6OTHR070","PASTURE MARKET ECON 6"
"R6OTHR080","RIVER BOTTOM/ LAKE ECON 6"
"R6RLND000","KERSEY RURAL"
"R6RLND005","ECON 6 T4-5 R61-63 RURAL"
"R6RLND010","ECON 6 T4 R65-66 RURAL"
"R6RLND015","GREELEY RURAL"
"R6RLND020","392 CORRIDOR RURAL"
"R6RLND025","MILLIKEN 6 RURAL"
"R6WELD000","COTTONWOOD FALLS"
"R6WELD005","DEARFIELD"
"R6WELD010","BIG SKY ESTATES"
"R6WELD015","LINDALE SUB"
"R6WELD020","LUTHER SUB"
"R6WELD025","MCMAHAN SUB"
"R6WELD030","RAINBOW ACRES"
"R6WELD035","SEEHUSEN SUB"
"R6WELD040","VGG"
"R6WELD045","HARRINGTON KNOLLS"
"R6WELD050","BRADDY ADD"
"R6WELD055","MCDONALDS SUB"
"R6WELD060","ZENDTS FARM"
"R6WELD065","RURAL GREELEY"
"R6WELD070","STROHAUER SUB"
"R6WELD075","WARD ACRES"
"R6WELD080","LUNDGRENS SUB"
"R6WELD085","ZABKA FARMS"
"R6WELD090","PLEASANT VALLEY ESTATES"
"R6WELD095","FAGERBERG SUB"
"R6WELD100","PHEASANT MEADOW MINOR"
"R6WELD105","JUBILEE ACRES MINOR"
"R6WELD110","LATHAM VIEW ESTATES"
"R6WELD130","SANDY KNOLL"
"R6WELD135","HOFF COUNTRY ESTATES"
"R6WELD140","RANGEVIEW RANCHES"
"R6WELD145","KERSEY COLONY"
"R6WELD150","HARDIN"
"R6WELD155","PULLIAM"
"R6WELD160","MORRIS"
"R6WELD165","FAITH ESTATES"
"R6WELD170","LUCERNE"
"R6WELD175","BRENCKLE SUB"
"R6WELD180","ETHERTON SUB"
"R6WELD610","VALLEY VIEW"
"R6WELD615","SOUTHGATE"
"R6WELD620","SCOTCH PINE ESTATES"
"R6WELD630","HUNT-WIEDMAN"
"R6WELD635","FLORES"
"R6WELD640","CARRIAGE ESTATES"
"R6WELD645","CARRIAGE ESTATES DUPLEXES"
"R6WELD650","CORR RURAL LAND DIV RLDF22-0002"
"R6WELD900","GREELEY RV PARK"
"R7CARR005","CARR RESIDENTIAL"
"R7GILL005","GILL RESIDENTIAL"
"R7GRVR005","GROVER RESIDENTIAL LOTS"
"R7GRVR010","BASHOR RESUB"
"R7GRVR900","DUGGAN CAMPGROUND"
"R7HERE005","HEREFORD RESIDENTIAL"
"R7NRMR000","NEW RAYMER"
"R7OTHR000","DAIRY ECON 7"
"R7OTHR005","FEED LOT ECON 7"
"R7OTHR015","HOG ECON 7"
"R7OTHR020","SHEEP ECON 7"
"R7OTHR060","OTHER AG - SPECIAL PRUPOSE ECON 7"
"R7OTHR070","PASTURE MARKET ECON 7"
"R7RLND000","NE ECON 7 RURAL"
"R7RLND005","CARR RURAL"
"R7RLND010","BRIGGSDALE/ BARNSVILLE RURAL"
"R7RLND015","GILL/ GALETON RURAL"
"R7RLND020","NW ECON 7 RURAL"
"R7WELD000","BARNSVILLE AREA"
"R7WELD005","BRIGGSDALE"
"R7WELD010","BUCKINHAM"
"R7WELD020","KEOTA"
"R7WELD025","STONEHAM"
"R7WELD050","GRANDVIEW ACRES MINOR"
"R7WELD055","LINDIES LAKE PUD"
"R7WELD060","NIOBRARA"
"R7WELD300","CAMFIELD"
"R7WELD305","GALETON"
"R7WELD310","MASON VIEW"
"R7WELD315","OWL CREEK ESTATES"
"R8NUNN000","NUNN RESIDENTIAL"
"R8NUNN010","NUNN IN TOWN ACRES"
"R8NUNN011","MCFARLINS THIRD RPLT"
"R8NUNN012","BLUE SPRUCE"
"R8NUNN015","PRAIRIEVIEW"
"R8NUNN020","NUNN MEADOWS"
"R8NUNN025","VARRA"
"R8NUNN900","NUNN MH PARK"
"R8NUNN905","VARRA RV PARK"
"R8OTHR000","DAIRY ECON 8"
"R8OTHR005","FEED LOT ECON 8"
"R8OTHR010","CHICKENS ECON 8"
"R8OTHR015","HOG ECON 8"
"R8OTHR020","SHEEP ECON 8"
"R8OTHR065","OTHER AG - HORSES ECON 8"
"R8OTHR070","PASTURE MARKET ECON 8"
"R8OTHR080","RIVER BOTTOM/ LAKE ECON 8"
"R8PRCE000","WILDERLAND PARK"
"R8PRCE005","PIERCE IN TOWN ACRES"
"R8PRCE010","PIERCE RESIDENTIAL"
"R8PRCE015","PIERCE EAST"
"R8PRCE020","HUNT AND CLAYTON"
"R8PRCE025","CONSERVATION SUB"
"R8PRCE900","HIGHLAND MH PARK"
"R8RLND000","NUNN RURAL"
"R8RLND005","PIERCE RURAL"
"R8RLND010","W ECON 8 RURAL"
"R8WELD000","GOLD STONE CREEK"
"R8WELD010","GRIFFITH MINOR"
"R8WELD025","PIERCE ACRES"
"R8WELD030","WATERFORD HILL"
"R8WELD035","EAGLE SUB"
"R8WELD900","GASTOWN CAMPGROUND"
"R9AULT000","CONESTOGA"
"R9AULT000PW5","CONESTOGA 1ST FG 7TH RPLT"
"R9AULT005","AULT WEST"
"R9AULT010","AULT RESIDENTIAL"
"R9AULT015","AULT SOUTHWEST"
"R9AULT020","AULT EAST OF 85"
"R9AULT025","AULT OLD TOWN"
"R9AULT030","HIGHLAND MEADOWS"
"R9AULT035","WYKERT SUB"
"R9AULT900","HENSLEY MH PARK"
"R9AULT905","MILLERS MH PARK"
"R9AULT910","STEWARTS MH PARK"
"R9AULT915","ANDERSONS MH PARK"
"R9EATN000","HISTORIC EATON"
"R9EATN005","WEST EATON"
"R9EATN010","CENTENNIAL"
"R9EATN015","CENTENNIAL PATIO"
"R9EATN020","JUNIPER TOWNHOMES"
"R9EATN025","JUNIPER SFR"
"R9EATN045","HAWKSTONE NORTH"
"R9EATN050","HAWKSTONE ESTATE LOTS"
"R9EATN055","PARKRIDGE AT HAWKSTONE"
"R9EATN060","HAWKSTONE WEST"
"R9EATN065","COTTAGES AT HAWKSTONE"
"R9EATN070","HAWKSTONE"
"R9EATN075","EATON COMMONS"
"R9EATN080","GOVERNERS RANCH"
"R9EATN085","GOVERNERS RANCH TOWNHOMES"
"R9EATN090","MAPLEWOOD"
"R9EATN095","MAPLEWOOD TOWNHOMES"
"R9EATN100","ASPEN MEADOWS"
"R9EATN105","GOVERNERS CROSSING"
"R9EATN110","EATON COMMONS TOWNHOMES"
"R9EATN115","RIDGEWOOD"
"R9EATN120","KRAUSE"
"R9EATN125","BROWN FARM"
"R9OTHR000","DAIRY ECON 9"
"R9OTHR005","FEED LOT ECON 9"
"R9OTHR020","SHEEP ECON 9"
"R9OTHR065","OTHER AG - HORSES ECON 9"
"R9RLND000","EATON RURAL"
"R9RLND005","AULT RURAL"
"R9WELD000","FREEDOM ACRES"
"R9WELD005","STARK FARMS"
"R9WELD010","AVERY ACRES"
"R9WELD015","WEST OF AULT SUB"
"R9WELD020","LONE TREE ESTATES"
"R9WELD025","EATON COUNTRY CLUB"
"R9WELD030","APPALOOSA ACRES"
"R9WELD035","APPLOOSA ACRES ESTATES"
"R9WELD040","MAGNUSON"
"R9WELD050","EAST EATON"
"ROW","RIGHT OF WAY"
"SEVEREDMIN","SEVERED MINERALS"
"SG_GRAVEL","SG_GRAVEL"
"SG_ROADBASE","SG_ROADBASE"
"WATER","WATER ACCT"
