" LEA","LEADESC"
"C4FTLP010PW1","FORT LUPTON VINCENT'S EAST ADD 3RD FILING"
"C4FTLP015","FORT LUPTON SOUTH 52 COMMERCIAL"
"C4FTLP020","FORT LUPTON CENTRAL INDUSTRIAL"
"C4FTLP025","FORT LUPTON NORTH INDUSTRIAL"
"C4FTLP030","FORT LUPTON SOUTH INDUSTRIAL"
"C4FTLP035","FORT LUPTON EAST INDUSTRIAL"
"C4FTLP040","FORT LUPTON GOLF"
"C4FTLP045","FORT LUPTON GOVERNMENT"
"C4FTLP050","FORT LUPTON APARTMENTS"
"C4FTLP055","FORT LUPTON CHURCHES"
"C4FTLP060PW1","ZADEL MINOR"
"C4FTLP065PW1","LUPTON VILLAGE"
"C4FTLP070","NORTHLAND"
"C4FTLP070PW1","NORTHLAND 2ND RP PHASE 1"
"C4FTLP070PW3","NORTHLAND 3RD F AMND 1"
"C4FTLP075","FORT LUPTON SCHOOLS"
"C4LOCH000","LOCHBUIE COMMERCIAL"
"C4LOCH000PW1","LOCHBUIE COMMERCIAL HIGHPLAINS FILING 1"
"C4LOCH005","LOCHBUIE LARGE COMMERCIAL"
"C4PLAT000","PLATTEVILLE COMMERCIAL"
"C4PLAT000PW1","PLATTEVILLE COLORADO PARK NORTH"
"C4PLAT005","PLATTEVILLE COMMERCIAL 85/66 INFLUENCE"
"C4PLAT010","PLATTEVILLE COMMERCIAL ENERGY PARK"
"C4PLAT010PW1","PLATTEVILLE COMMERCIAL ENERGY PARK LOT 2 REPLAT"
"C4PLAT015","PLATTEVILLE INDUSTRIAL HIGHWAY 85"
"C4PLAT020","PLATTEVILLE RURAL COMMERCIAL"
"C4PLAT025","PLATTE VIEW COMMERCE CENTER"
"C4SCHL000","SCHOOL IN ECONOMIC AREA 4"
"C4WATT000","WATTENBERG COMMERCIAL"
"C4WELD005","WELD RURAL COMMERCIAL LOCHBUIE"
"C4WELD030","WELD"
"C4WELD035","WELD TWN 2 RANGE 67"
"C5CHUR000","CHURCH IN ECONOMIC AREA 5"
"C5HUDS000","HUDSON COMMERCIAL"
"C5HUDS005","HUDSON INDUSTRIAL"
"C5HUDS010","HUDSON COMMERCIAL 52/76 INFLUENCE"
"C5HUDS010PW1","HUDSON COMM HWY 52/76 INFLUENCE"
"C5HUDS015","HUDSON RURAL COMMERCIAL"
"C5HUDS020","HUDSON COMMERCIAL 76 SOUTH"
"C5HUDS025","PILOT TRAVEL CENTERS FLG 1"
"C5HUDS030","HUDSON PLACE F1"
"C5KEEN000","KEENESBURG COMMERCIAL"
"C5KEEN000PW1","MARKET STREET BUSINESS PARK"
"C5KEEN000PW2","KEENESBURG COMMERCIAL"
"C5KEEN000PW3","MARKET STEET EAST"
"C5KEEN000TM1","KEENESBURG COMMERCIAL"
"C5KEEN005","KEENESBURG LANDFILL"
"C5ROGG000","ROGGEN COMMERCIAL"
"C5SCHL000","SCHOOL IN ECONOMIC AREA 5"
"C5WELD000","WELD COMMERCIAL RURAL PROSPECT VALLEY"
"C5WELD005","PLATTE VALLEY AIRPARK"
"C6CHUR000","CHURCHES IN ECONOMIC AREA 6"
"C6EVAN000","EVANS CENTRAL COMMERCIAL"
"C6EVAN000PW1","EVANS 31/32 ST SECTION 20 5-65 COMMERCIAL"
"C6EVAN000PW2","PEERLESS TYRES SUBDIVISION FINAL PLAT"
"C6EVAN000PW3","JUNCTION AT EVANS"
"C6EVAN005","EVANS 23RD AVE COMMERCIAL"
"C6EVAN005PW1","EVANS VILLAGE 5TH FILING COMMERCIAL"
"C6EVAN005PW3","EVANS CHAPPELOW VILLAGE 2ND REPLAT A COMMERCIAL"
"C6EVAN005PW4","EVANS SAM'S AT THE LANDINGS COMMERCIAL"
"C6EVAN010","EVANS 35TH AVE COMMERCIAL EAST"
"C6EVAN010PW1","EVANS HUNTER'S RESERVE CENTER COMMERCIAL"
"C6EVAN010PW2","EVANS HUNTER'S RESERVE CENTER FLNG NO. 2 MNR  SUB"
"C6EVAN015","EVANS S 85 COMMERCIAL"
"C6EVAN015PW1","EVANS COUNTRY MEADOWS SUB COMMERCIAL"
"C6EVAN020","EVANS COMMERCIAL CONDOS"
"C6EVAN025","EVANS INDUSTRIAL"
"C6EVAN030","EVANS SOUTH INDUSTRIAL"
"C6EVAN030PW1","EVANS STONEGATE INDUSTRIAL PARK"
"C6EVAN035","EVANS PLATTE RIVER COMMERCIAL"
"C6EVAN040","EVANS APARTMENTS EAST"
"C6EVAN040PW1","EVANS GROVE MINOR REPLAT APARTMENTS"
"C6EVAN040PW3","RESERVE AT CRESCENT COVE"
"C6EVAN045","MOUNTAIN TRAX SUBDIVISION"
"C6GCLT005","GILCREST RURAL COMMERCIAL"
"C6GCTY005","G.C. S. 8TH AVE"
"C6GCTY010","G.C. OFF S. 8TH AVE"
"C6GLCT000","GILCREST COMMERCIAL"
"C6GRLY005","APARTMENTS NORTH GREELEY"
"C6GRLY010","MEDICAL OFFICE E OF 23RD"
"C6GRLY010ATT","MEDICAL OFFICE E OF 23RD"
"C6GRLY015","APARTMENTS S OF 17TH ST"
"C6GRLY025","APARTMENTS S OF 16TH E OF 7TH AVE"
"C6GRLY030","APARTMENTS E OF HWY 85"
"C6GRLY035","WELD COUNTY CAMPUS AREA"
"C6GRLY040","GREELEY AIRPORT"
"C6GRLY050","HWY 85 CORRIDOR"
"C6GRLY055","WESTERN SUGAR GRLY"
